neuron_id,dimension,scorer_type,rationale
EC-01,EC,llm,"Error Correction (behavioral): Human challenges/verifies AI outputs. Requires nuanced judgment of verification depth. LLM-only."
EC-02,EC,llm,"Error Awareness (metacognitive): Detecting whether human recognizes AI errors. Requires understanding of implicit doubt signals. LLM-only."
EC-03,EC,llm,"Independent Reasoning (metacognitive): Distinguishing human's own thinking from parroted AI output. Requires nuanced text comparison. Candidate SetFit, but high variance → LLM for stability."
EC-04,EC,llm,"High-Stakes Review (behavioral): Multi-axis verification on consequential decisions. Requires understanding of decision stakes and review depth. LLM-only."
EC-05,EC,llm,"Justification Evaluation (behavioral): Human drives multi-turn explanation chains. Requires understanding of logical soundness. LLM-only."
EC-06,EC,deterministic,"Verification Markers (structural): Counts explicit verification words ('is that correct', 'let me verify', 'that's wrong', 'citation'). Deterministic counter."
EC-07,EC,deterministic,"Interrogative Ratio (structural): Ratio of question-ending sentences to affirmative sentences. Deterministic ratio computation."
EC-08,EC,llm,"Value Judgment Independence (behavioral): Human retains own ethical stance vs. deferring to AI. Requires understanding of value framing. LLM-only."
EC-09,EC,deterministic,"Unverified Confident Claims (structural): Fires when AI is confident (low hedging score) AND human shows zero verification markers. Deterministic scoring."
EC-10,EC,llm,"Handles Uncertainty (behavioral): Human acknowledges and responds to AI's explicit uncertainty. Nuanced judgment. LLM-only."
EC-11,EC,llm,"Factual Grounding (behavioral): Human grounds AI output in facts/sources. Requires understanding of evidentiary standards. LLM-only."
EC-12,EC,llm,"Critique Quality (behavioral): Depth and specificity of human's challenges to AI. Nuanced calibration. LLM-only."
EC-13,EC,llm,"Reasoning Inspection (behavioral): Human inspects whether AI's reasoning is sound, not just the output. LLM-only."
EC-14,EC,llm,"Misalignment Detection (behavioral): Human detects when AI output diverges from their intent. LLM-only."
AL-01,AL,llm,"Inquiry Initiation (behavioral): Human asks questions to clarify/explore. May be SetFit-able (question-presence + depth), but varies by domain → LLM for now."
AL-02,AL,llm,"Conceptual Depth (behavioral): Human explores underlying concepts. High variance by domain. LLM-only."
AL-03,AL,llm,"Synthesis (behavioral): Human combines information creatively. Latent construct. LLM-only."
AL-04,AL,llm,"Boundary Testing (behavioral): Human pushes limits of AI's knowledge. May be SetFit-able, but LLM for stability."
AL-05,AL,llm,"Metacognitive Insight (behavioral): Human reflects on own learning process. Latent. LLM-only."
AL-06,AL,llm,"Transfer Learning (behavioral): Human applies concepts across domains. Latent. LLM-only."
AL-07,AL,llm,"Goal-Adaptive Response (behavioral): Human adjusts strategy based on progress. Latent. LLM-only."
AL-08,AL,deterministic,"Question Presence (structural): Binary flag for whether human asked any substantive question. Deterministic presence check."
AL-09,AL,llm,"Depth vs Breadth (behavioral): Human prioritizes deep exploration over wide coverage. Latent preference. LLM-only."
AL-10,AL,llm,"Iterative Refinement (behavioral): Human refines understanding over turns. Latent. LLM-only."
AL-11,AL,llm,"Meta-awareness (behavioral): Human shows awareness of own cognitive state. Latent. LLM-only."
AL-12,AL,llm,"Curiosity-Driven (behavioral): Human pursues intrinsic interest. Latent motivation. LLM-only."
AL-13,AL,llm,"Adaptive Pacing (behavioral): Human adapts pacing to comprehension. Latent. LLM-only."
PR-01,PR,llm,"Clarity Demand (behavioral): Human asks AI to be more precise. Nuanced judgment. SetFit candidate, but high variance → LLM."
PR-02,PR,deterministic,"Turn Completion (structural): Human actually responds with their own reasoning, not just a follow-up question. Deterministic presence."
PR-03,PR,llm,"Building on AI (behavioral): Human extends or refines AI's output. Nuanced comparison. SetFit candidate, LLM for now."
PR-04,PR,llm,"Disagreement Tolerance (behavioral): Human explicitly disagrees with or contests AI. May be SetFit-able. LLM for stability."
PR-05,PR,deterministic,"Turns Without Full AI Dependence (structural): Human occasionally leads conversation, not always following AI. Structural counter."
PR-06,PR,llm,"Conditional Acceptance (behavioral): Human accepts AI output conditionally. Nuanced judgment. LLM-only."
PR-07,PR,deterministic,"Diverse Turn Topics (structural): Human raises topics independently, not just responding to AI. Deterministic diversity metric."
PR-08,PR,llm,"Responsibility Retention (behavioral): Human retains agency/authority in decision. Nuanced. LLM-only."
PR-09,PR,llm,"Clarification-Seeking (behavioral): Human asks for domain-specific clarifications. Nuanced judgment. SetFit candidate, LLM for robustness."
PR-10,PR,llm,"Scope-Boundary Awareness (behavioral): Human knows what AI can/can't do. Nuanced. LLM-only."
PR-11,PR,llm,"Feedback Integration (behavioral): Human integrates AI's suggestions into their own goals. Latent. LLM-only."
PR-12,PR,llm,"Prioritization (behavioral): Human prioritizes AI suggestions thoughtfully. Latent preference. LLM-only."
PR-13,PR,llm,"Risk Awareness (behavioral): Human considers risks of AI recommendations. Nuanced. LLM-only."
PR-14,PR,deterministic,"Follows With Rationale (structural): When human follows AI, they add their own reasoning. Deterministic check for post-AI rationale."
PR-15,PR,llm,"Trust Calibration (behavioral): Human calibrates trust in AI based on domain/context. Latent. LLM-only."
ES-01,ES,deterministic,"Evidence Presence (structural): Binary flag for whether human cited/requested external evidence. Deterministic presence check."
ES-02,ES,llm,"Evidence Quality (behavioral): Assessing the strength and relevance of evidence human cites. Nuanced judgment. LLM-only."
ES-03,ES,llm,"Counterexample Hunting (behavioral): Human seeks disconfirming evidence. Latent strategy. LLM-only."
ES-04,ES,llm,"Probability Calibration (behavioral): Human calibrates confidence to evidence quality. Latent judgment. LLM-only."
ES-05,ES,llm,"Source Credibility (behavioral): Human evaluates source reliability. Nuanced judgment. LLM-only."
ES-06,ES,llm,"Gap Identification (behavioral): Human notices gaps in AI's evidence. Nuanced. LLM-only."
ES-07,ES,llm,"Competing Explanations (behavioral): Human considers alternative explanations for the evidence. Latent. LLM-only."
ES-08,ES,llm,"Evidence Integration (behavioral): Human synthesizes multiple evidence sources. Latent. LLM-only."
ES-09,ES,llm,"Prior Knowledge (behavioral): Human anchors new evidence to prior knowledge. Nuanced. LLM-only."
ES-10,ES,llm,"Temporal Dynamics (behavioral): Human updates understanding as evidence accumulates. Latent trajectory. LLM-only."
ES-11,ES,llm,"Generalization Caution (behavioral): Human avoids over-generalizing from evidence. Latent conservatism. LLM-only."
ES-12,ES,llm,"Replication Skepticism (behavioral): Human questions whether findings replicate. Latent skepticism. LLM-only."
ES-13,ES,llm,"Context Sensitivity (behavioral): Human considers whether evidence applies to their context. Nuanced judgment. LLM-only."
ES-14,ES,llm,"Abduction from Evidence (behavioral): Human creatively infers from limited evidence. Latent reasoning. LLM-only."
CS-01,CS,llm,"Search Initiation (behavioral): Human initiates deliberate search for information. Latent intention. LLM-only."
CS-02,CS,llm,"Keyword Sophistication (behavioral): Human uses domain-specific search terms. Latent domain knowledge. LLM-only."
CS-03,CS,llm,"Iteration on Search (behavioral): Human iterates and refines search based on results. Latent strategy. LLM-only."
CS-04,CS,llm,"Coverage Evaluation (behavioral): Human evaluates whether search covers the problem. Nuanced judgment. LLM-only."
